Gene	Calb	Cgla	Klac	Scas	Scer	Spom
Gene0	1	0	0	0	1	0
Gene1	0	0	0	0	0	0
Gene2	0	0	0	0	1	0
Gene3	0	0	0	0	1	1
Gene4	1	0	0	1	0	0
Gene5	0	0	0	1	0	0
Gene6	0	1	1	0	0	1
Gene7	0	0	0	0	0	1
Gene8	0	0	0	0	1	0
Gene9	0	0	0	0	0	1
Gene10	1	1	0	0	1	1
Gene11	1	0	1	0	0	0
Gene12	1	1	0	1	1	0
Gene13	0	1	1	1	0	0
Gene14	0	0	0	0	1	0
Gene15	0	1	0	1	1	0
Gene16	1	0	1	0	1	0
Gene17	0	0	0	0	0	0
Gene18	1	0	0	0	0	0
Gene19	0	0	0	0	0	0
Gene20	0	0	0	0	0	0
Gene21	0	0	1	0	1	0
Gene22	0	1	0	0	0	1
Gene23	1	0	0	0	0	1
Gene24	1	0	0	0	0	0
Gene25	0	0	1	0	1	0
Gene26	0	0	0	1	0	0
Gene27	0	0	0	0	0	1
Gene28	1	0	1	1	1	0
Gene29	0	0	0	1	0	0
Gene30	1	1	0	0	0	1
Gene31	0	0	0	1	1	1
Gene32	1	0	0	0	0	0
Gene33	0	0	1	0	0	0
Gene34	0	0	0	0	0	0
Gene35	1	0	0	0	0	0
Gene36	1	1	1	0	0	0
Gene37	1	1	0	1	0	1
Gene38	0	0	0	0	0	0
Gene39	0	1	0	1	0	0
Gene40	0	0	0	0	0	0
Gene41	0	0	1	1	0	0
Gene42	1	0	0	0	1	1
Gene43	1	0	0	1	0	1
Gene44	1	0	0	0	0	1
Gene45	0	0	0	0	0	1
Gene46	1	1	0	0	0	0
Gene47	0	1	1	0	0	1
Gene48	0	0	1	1	0	0
Gene49	1	0	0	1	0	1
Gene50	0	0	1	0	0	1
Gene51	1	0	0	0	1	0
Gene52	0	1	0	0	0	1
Gene53	0	1	0	0	1	1
Gene54	0	0	0	0	1	0
Gene55	0	1	0	0	0	0
Gene56	1	1	1	0	1	0
Gene57	1	0	0	1	0	0
Gene58	0	0	0	0	1	0
Gene59	0	0	1	0	1	1
Gene60	0	0	0	1	0	1
Gene61	0	1	1	1	0	0
Gene62	0	0	0	0	0	0
Gene63	0	0	1	0	1	0
Gene64	0	0	0	1	1	0
Gene65	0	1	0	1	0	0
Gene66	0	0	0	0	0	0
Gene67	0	0	1	0	0	0
Gene68	0	0	0	1	0	0
Gene69	1	1	0	0	0	0
Gene70	0	1	0	0	0	1
Gene71	0	0	1	0	1	0
Gene72	1	1	0	0	0	1
Gene73	1	0	1	0	1	0
Gene74	1	1	0	0	0	0
Gene75	0	0	0	1	1	0
Gene76	0	1	1	1	1	0
Gene77	0	0	1	0	0	0
Gene78	1	0	0	1	0	1
Gene79	0	0	0	0	0	1
Gene80	1	1	0	0	1	0
Gene81	0	0	0	0	0	0
Gene82	0	1	0	0	1	1
Gene83	0	0	1	1	0	1
Gene84	0	1	1	1	1	0
Gene85	0	0	0	1	0	1
Gene86	0	0	0	0	0	0
Gene87	0	0	0	0	0	1
Gene88	0	0	1	0	0	1
Gene89	0	0	0	0	1	1
Gene90	0	0	0	0	0	0
Gene91	1	0	1	1	1	0
Gene92	0	0	0	0	0	1
Gene93	0	0	0	1	0	0
Gene94	0	0	1	0	0	0
Gene95	0	0	0	1	0	1
Gene96	0	1	1	1	0	1
Gene97	0	0	0	1	1	0
Gene98	1	0	1	1	0	0
Gene99	0	1	0	0	0	0
